Episode,Result,Duration,BossPool,P1Pool,P2Pool,BossDmgDealt,PlayerDmgDealt,BossHpLeft,P1HpLeft,P2HpLeft,BossHits,P1Hits,P2Hits
643,BossWin,31.1,BossRangedZoner,PlayerTrainingSkillPool,PlayerMeleeBurst,400,826,0.67,0.00,0.00,5,1,5
644,BossLose,90.0,BossRangedZoner,PlayerMeleeBurst,PlayerCCDebuffer,212,1510,0.40,0.00,0.94,3,4,12
645,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerCCDebuffer,200,1350,0.46,0.00,1.00,2,2,15
646,BossWin,87.4,BossMeleeAggro,PlayerCCDebuffer,PlayerMeleeBurst,400,924,0.63,0.00,0.00,6,6,2
647,BossLose,90.0,BossRangedZoner,PlayerHybridSurvivor,PlayerCCDebuffer,286,1193,0.52,0.00,0.57,6,2,16
648,BossWin,54.7,BossRangedZoner,PlayerHybridSurvivor,PlayerMeleeBurst,400,1106,0.56,0.00,0.00,5,5,3
649,BossLose,90.0,BossTankSustain,PlayerMeleeBurst,PlayerCCDebuffer,200,1925,0.23,0.00,1.00,3,4,17
650,BossLose,90.0,BossTankSustain,PlayerTrainingSkillPool,PlayerMeleeBurst,200,1167,0.53,0.00,1.00,2,5,4
651,BossWin,38.2,BossMeleeAggro,PlayerCCDebuffer,PlayerTrainingSkillPool,400,48,0.98,0.00,0.00,7,2,0
652,BossLose,65.4,BossRangedZoner,PlayerHybridSurvivor,PlayerTrainingSkillPool,244,2500,0.00,0.32,0.47,2,10,8
653,BossLose,48.8,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,160,2500,0.00,0.20,1.00,2,15,1
654,BossWin,23.7,BossRangedZoner,PlayerTrainingSkillPool,PlayerHybridSurvivor,400,464,0.81,0.00,0.00,4,4,0
655,BossLose,58.0,BossRangedZoner,PlayerMeleeBurst,PlayerCCDebuffer,59,2500,0.00,0.70,1.00,0,11,13
656,BossLose,89.7,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,323,2500,0.00,0.00,0.38,9,3,13
657,BossLose,90.0,BossRangedZoner,PlayerTrainingSkillPool,PlayerHybridSurvivor,302,555,0.78,0.00,0.49,6,3,2
658,BossLose,90.0,BossRangedZoner,PlayerTrainingSkillPool,PlayerCCDebuffer,305,1574,0.37,0.00,0.47,9,1,25
659,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerCCDebuffer,324,2484,0.01,0.00,0.38,0,9,19
660,BossWin,32.6,BossMeleeAggro,PlayerHybridSurvivor,PlayerCCDebuffer,400,1129,0.55,0.00,0.00,4,5,2
661,BossLose,90.0,BossRangedZoner,PlayerTrainingSkillPool,PlayerTrainingSkillPool,200,1748,0.30,0.00,1.00,2,3,9
662,BossWin,41.1,BossRangedZoner,PlayerMeleeBurst,PlayerCCDebuffer,400,1379,0.45,0.00,0.00,4,9,6
663,BossWin,42.7,BossMeleeAggro,PlayerTrainingSkillPool,PlayerCCDebuffer,400,550,0.78,0.00,0.00,5,2,5
664,BossLose,90.0,BossRangedZoner,PlayerHybridSurvivor,PlayerCCDebuffer,214,1485,0.41,0.00,0.93,3,4,14
